BEnh,h,d,R,P0,Nb,a
-26.74511492,1,35,710050,0.009699848,767,2
-26.74337812,1,20,660050,0.006254752,1105,2
-26.74089522,1,80,860050,0.020020664,450,2
-26.73612332,1,60,790050,0.01530924,541,2
-26.73263594,1,45,740050,0.011913579,651,2
-26.73165968,1,75,840050,0.018771373,468,2
-26.72889832,1,110,970050,0.027664139,368,2
-26.72870331,1,105,950050,0.026284234,378,2
-26.72760315,1,115,990050,0.029004751,357,2
-26.72740762,1,15,640050,0.005026718,1333,2
-26.7269439,1,10,930050,0.024963171,390,4
-26.7269439,1,100,930050,0.024963171,390,2
-26.72497337,1,30,690050,0.008536508,846,2
-26.72354337,1,95,910050,0.023661981,403,2
-26.72054998,1,55,770050,0.014122275,571,2
-26.72046858,1,70,820050,0.017556621,489,2
-26.71842363,1,90,890050,0.022376603,417,2
-26.71694045,1,10,620050,0.003730882,1740,2
-26.71317341,1,40,720050,0.010752515,701,2
-26.71150508,1,85,870050,0.021103478,432,2
-26.70725091,1,65,800050,0.016349112,512,2
-26.70406191,1,25,670050,0.007372819,952,2
-26.7029207,1,50,750050,0.012950468,606,2
-26.7027057,1,80,850050,0.019860203,449,2
-26.69798841,1,110,960050,0.027450663,367,2
-26.6977841,1,115,980050,0.028782372,356,2
-26.69664848,1,105,940050,0.026079852,377,2
-26.69368689,1,10,920050,0.024767636,389,4
-26.69368689,1,100,920050,0.024767636,389,2
-26.692002,1,35,700050,0.009599761,763,2
-26.69194562,1,75,830050,0.018619586,467,2
-26.69194482,1,60,780050,0.015170009,539,2
-26.68902274,1,95,900050,0.023475224,402,2
-26.68326953,1,20,650050,0.006190076,1100,2
-26.68324453,1,45,730050,0.011796381,648,2
-26.682574,1,90,880050,0.022173807,415,2
-26.67914317,1,70,810050,0.017396596,487,2
-26.67449952,1,55,760050,0.013993301,569,2
-26.67425631,1,85,860050,0.020934168,431,2
-26.66939326,1,30,680050,0.008453975,843,2
-26.6675852,1,115,970050,0.028596589,356,2
-26.66697052,1,120,990050,0.029951651,346,2
-26.66667909,1,110,950050,0.027237079,366,2
-26.66424748,1,15,630050,0.004973987,1327,2
-26.66422278,1,65,790050,0.016214467,511,2
-26.66417369,1,105,930050,0.025875339,376,2
-26.66398338,1,80,840050,0.019678944,447,2
-26.66157746,1,40,710050,0.01064687,698,2
-26.6599878,1,10,910050,0.024571944,388,4
-26.6599878,1,100,910050,0.024571944,388,2
-26.65488299,1,50,740050,0.012831685,604,2
-26.65403635,1,95,890050,0.023288286,401,2
-26.65166694,1,75,820050,0.018448947,465,2
-26.65041459,1,10,610050,0.00368991,1731,2
-26.64711395,1,60,770050,0.015030622,537,2
-26.64623437,1,90,870050,0.021995704,414,2
-26.64582885,1,25,660050,0.007294309,947,2
-26.63805122,1,35,690050,0.009505599,760,2
-26.63746065,1,120,980050,0.029719954,345,2
-26.63722164,1,70,800050,0.017253179,486,2
-26.63699816,1,115,960050,0.028373876,355,2
-26.63649054,1,85,850050,0.020742123,429,2
-26.6349614,1,110,940050,0.02702338,365,2
-26.63309262,1,45,720050,0.011679055,645,2
-26.63126931,1,105,920050,0.025670686,375,2
-26.6277569,1,55,750050,0.013864144,567,2
-26.62583632,1,10,900050,0.024376089,387,4
-26.62583632,1,100,900050,0.024376089,387,2
-26.62471324,1,80,830050,0.019518106,446,2
-26.62216895,1,20,640050,0.006125261,1095,2
-26.62056305,1,65,780050,0.016064629,509,2
-26.61857405,1,95,880050,0.023074413,399,2
-26.612919,1,30,670050,0.008366421,839,2
-26.61081022,1,75,810050,0.018296736,464,2
-26.60939163,1,90,860050,0.021817391,413,2
-26.60917213,1,40,700050,0.010541071,695,2
-26.6075845,1,125,990050,0.030902173,336,2
-26.60757277,1,120,970050,0.02948819,344,2
-26.60610981,1,50,730050,0.012712696,602,2
-26.60601394,1,115,950050,0.028151068,354,2
-26.60282605,1,110,930050,0.026809562,364,2
-26.60161307,1,60,760050,0.014891072,535,2
-26.6000238,1,15,620050,0.004919297,1320,2
-26.59819349,1,85,840050,0.020572472,428,2
-26.59792539,1,105,910050,0.025465889,374,2
-26.5946877,1,70,790050,0.017092858,484,2
-26.59122172,1,10,890050,0.024180065,386,4
-26.59122172,1,100,890050,0.024180065,386,2
-26.58664004,1,25,650050,0.007219401,943,2
-26.58488278,1,80,820050,0.019336657,444,2
-26.58323741,1,35,680050,0.009411256,757,2
-26.58274578,1,10,600050,0.00364884,1722,2
-26.58262353,1,95,870050,0.022887227,398,2
-26.58215881,1,45,710050,0.01157022,643,2
-26.58030292,1,55,740050,0.013734797,565,2
-26.57837561,1,125,980050,0.030661073,335,2
-26.57729856,1,120,960050,0.029256353,343,2
-26.57625448,1,65,770050,0.015914649,507,2
-26.57462361,1,115,940050,0.027928162,353,2
-26.57203338,1,90,850050,0.021638862,412,2
-26.57026346,1,110,920050,0.026595618,363,2
-26.56935996,1,75,800050,0.018125848,462,2
-26.56413163,1,105,900050,0.025260942,373,2
-26.56004483,1,20,630050,0.006057585,1089,2
-26.55935219,1,85,830050,0.020380289,426,2
-26.55658074,1,50,720050,0.012583468,599,2
